100;5;0.25;1;14;16384;134209536;1.505;11005;14;6714;5614121;0.184;11005
100;5;0.50;1;14;16384;134209536;1.541;11592;14;9728;7074850;0.258;11592
100;5;0.75;1;14;16384;134209536;1.570;9836;14;9513;9009676;0.280;9836
100;10;0.25;1;14;16384;134209536;1.816;9556;14;16384;14027541;0.509;9556
100;10;0.50;1;14;16384;134209536;1.860;10322;14;13387;10491681;0.381;10322
100;10;0.75;1;14;16384;134209536;1.867;10154;14;13942;7877389;0.252;10154
100;30;0.25;1;14;16384;134209536;3.739;10394;14;16384;12526714;0.590;10394
100;30;0.50;1;14;16384;134209536;3.743;10943;14;16384;15400578;0.657;10943
100;30;0.75;1;14;16384;134209536;3.722;10222;14;16384;12668911;0.460;10222
250;5;0.25;1;14;16384;134209536;1.586;10134;14;6736;10094478;0.298;10134
250;5;0.50;1;14;16384;134209536;1.544;9229;14;10840;13884078;0.468;9229
250;5;0.75;1;14;16384;134209536;1.460;10407;14;7084;5137947;0.183;10407
250;10;0.25;1;14;16384;134209536;1.779;9839;14;15964;17059319;0.617;9839
250;10;0.50;1;14;16384;134209536;1.818;11142;14;16172;20143879;0.705;11142
250;10;0.75;1;14;16384;134209536;1.779;10905;14;15872;15481507;0.635;10905
