"n","m","t","round(avg(opt/best)*100","2)"
100,5,0.25,99.73,
100,5,0.5,99.86,
100,5,0.75,99.91,
100,10,0.25,99.53,
100,10,0.5,99.76,
100,10,0.75,99.96,
100,30,0.25,98.02,
100,30,0.5,99.21,
100,30,0.75,99.52,99.50
250,5,0.25,99.87,
250,5,0.5,99.94,
250,5,0.75,99.95,
250,10,0.25,99.57,
250,10,0.5,99.80,
250,10,0.75,99.88,
250,30,0.25,98.46,
250,30,0.5,99.36,
250,30,0.75,99.59,99.60
500,5,0.25,99.77,
500,5,0.5,99.87,
500,5,0.75,99.92,
500,10,0.25,99.49,
500,10,0.5,99.78,
500,10,0.75,99.83,
500,30,0.25,98.75,
500,30,0.5,99.42,
500,30,0.75,99.68,99.61
,,,99.57,
