classe;np;n;nnodesb;timeb;nsol_sce;time_sce_list;time_sce_2dt;speed_up_2dt;comp_ratio_2dt;quality
A;2;40;38.2;0.1;28.6;8.7;14.1;1.6;0.5;99.0
A;2;60;69.1;2.2;38.4;9.2;14.7;1.6;0.4;98.0
A;2;80;125.8;24.5;55.9;9.6;15.1;1.6;0.3;97.0
A;2;100;178.0;158.8;74.0;10.0;15.5;1.6;0.3;96.5
A;2;120;244.0;953.3;85.2;10.3;16.1;1.6;0.3;96.2
B;2;100;5.75;0.3;3.75;10.1;33.3;3.3;0.8;100.0
B;2;200;8.6;11.7;5.9;12.3;37.4;3.1;0.6;100.0
B;2;300;21.5;165.1;10.1;15.0;40.7;2.7;0.4;99.9
B;2;400;32.7;1140.2;10.9;16.3;43.3;2.7;0.4;99.8
B;2;500;39.5;1718.2;12.0;17.9;45.4;2.5;0.3;99.7
C;2;20;46.4;0.0;46.4;9.0;7.3;0.8;0.3;99.9
C;2;40;106.3;0.9;66.5;9.0;10.5;1.2;0.2;96.8
C;2;60;232.6;24.6;126.0;9.3;12.0;1.3;0.2;95.6
C;2;80;374.7;590.0;173.2;9.7;13.1;1.4;0.2;94.0
C;2;100;542.1;3897.0;202.2;10.9;13.6;1.3;0.2;92.9
D;2;20;170.7;0.3;166.5;9.0;3.6;0.4;0.2;99.9
D;2;30;262.0;15.8;192.0;9.6;4.6;0.5;0.2;98.1
D;2;40;467.9;379.7;296.0;9.8;5.2;0.5;0.2;95.4
D;2;50;559.9;3411.0;330.1;9.7;5.5;0.6;0.2;93.8
