n;m;t;avg_scip_time;max_scip_time;gap
100;10;0.25;0.93;7.06;98.3
100;10;0.5;0.28;1.82;99.3
100;10;0.75;0.09;0.37;99.8
100;20;0.25;3.15;30.81;98.2
100;20;0.5;0.71;6.22;99.3
100;20;0.75;0.16;1.06;99.8
100;30;0.25;7.26;174.25;98.3
100;30;0.5;1.47;15.32;99.3
100;30;0.75;0.25;1.5;99.8
250;10;0.25;58.2;300.0;97.2
250;10;0.5;8.51;161.0;98.9
250;10;0.75;0.56;4.86;99.7
250;20;0.25;227.94;300.01;97.6
250;20;0.5;43.69;300.0;99.0
250;20;0.75;1.59;19.37;99.8
250;30;0.25;270.48;300.01;97.7
250;30;0.5;88.73;300.0;99.0
250;30;0.75;2.9;67.71;99.8
500;10;0.25;278.85;300.0;96.1
500;10;0.5;177.32;300.0;98.4
500;10;0.75;8.47;108.0;99.6
500;20;0.25;284.11;300.01;96.7
500;20;0.5;275.68;300.02;98.6
500;20;0.75;33.67;300.0;99.7
500;30;0.25;283.78;300.01;96.9
500;30;0.5;283.54;300.01;98.7
500;30;0.75;71.66;300.0;99.7
