5;1.58739255014327;20
6;2.303;30
7;3.057;46
8;4.98576051779935;114
9;6.394;198
10;9.868;432
11;11.727;329
12;19.2;832
13;19.918;609
14;40.579;3333
15;54.547;4678
16;84.005;12478
17;102.021;15191
18;129.071;9597
19;207.575;16306
20;466.554;63125
21;516.021;157163
22;583.738;87139
23;968.875;89133
24;1304.21;240345
25;3287.096;748478
26;2632.495;394276
27;6585.647;765514
28;15831.208;3767083
29;24641.063;6797898
30;36300.675;10969981
31;53818.808;22741159
32;29435.223;6648567
33;360676.061;238435287
34;412405.511;126846496
35;235674.387;165772589
36;1038606.051;324855082
37;874858.17;325513793
38;693914.747;392163636
39;2945205.679;1871360595
40;6865490.725;3741985698
41;2640047.5955;1064229832
42;76847407.3435;58371993146
43;15835001.643;9162373430
44;7604552.21463758;2970585352
45;131923167.433;106630286900
46;50520904.6665;28992653498
47;27373405.515;17979718207
48;35034443.151;18480286361
49;276896120.138;143122122379
50;424309960.813929;415876790731
51;291680790.451087;141785007267
